"","Attempt","maxAC","meanAC","maxACVariable","ESS"
"1",1,0.19811964901036,0.0846190995704772,"summer_rmax",11119122.2279317
"2",2,0.134293504867349,0.0607629135710529,"S",8685862.16128351
"3",3,0.135559652854705,0.0613952196994997,"S",9002746.5971
"4",4,0.129550078603818,0.0599117172910827,"S",8954038.63633674
"5",5,0.197495879869217,0.0776085110490888,"summer_rmax",10722912.1064278
"6",6,0.146631827666409,0.0609783892833693,"S",9244442.60719109
"7",7,0.11825520536094,0.0619266427845405,"S",8493401.3027486
"8",8,0.116894329238056,0.0627370927407681,"S",8418296.31717702
"9",9,0.134193814678071,0.0640564876971841,"S",8934105.71155627
"10",10,0.163291158164085,0.0638705619152627,"summer_rmax",9709708.11087268
"11",11,0.120746377073402,0.0612509037206011,"S",8155525.52001584
"12",12,0.153443376275423,0.0650803859611316,"S",9307186.1667933
"13",13,0.149727182942945,0.0626823028291646,"S",9542194.82156992
"14",14,0.157461833538045,0.0651167256127768,"summer_rmax",9905598.2388915
"15",15,0.126179361034039,0.0599799735642783,"S",8365908.38046493
"16",16,0.117114474592306,0.0622985089117352,"S",8208756.72449996
"17",17,0.140141624180079,0.0601829709791991,"S",9123799.64396634
"18",18,0.191961453255785,0.0749499942966056,"summer_rmax",10601187.8858562
"19",19,0.221661155894176,0.104915590308777,"summer_rmax",11208840.7831359
"20",20,0.116715173110348,0.0620048868901658,"S",8122755.21586652
"21",21,0.140117184949412,0.0609347308979592,"S",9138728.09135463
"22",22,0.127268461700311,0.0619380048658198,"S",8631481.1363451
"23",23,0.132044721358163,0.0629273641405217,"popdensity",8250471.35384225
"24",24,0.132326755049309,0.0618909740352499,"popdensity",8353748.07313247
"25",25,0.135885441524438,0.0605328321885119,"S",8753257.96276446
"26",26,0.117179185140774,0.0617120568998908,"popdensity",8293657.84515764
"27",27,0.146887755898334,0.0615475273290207,"summer_rmax",9401224.53666222
"28",28,0.129739421328009,0.0621364033080812,"S",8659890.56937438
"29",29,0.18210294197748,0.0670035641894773,"summer_rmax",10011114.6417804
"30",30,0.137427939979427,0.063122427104788,"S",8646530.87749168
