"","Attempt","maxAC","meanAC","maxACVariable","SampleSize","SampleSizeIncluded","ESS"
"1",1,0.223461325055411,0.12674551975427,"smoke_rate",31989354,15897063,406242.897435658
"2",2,0.158353656764358,0.0619373921344969,"summer_tmmx",31989354,22653062,352323.996502636
"3",3,0.156376343812671,0.0893193703444097,"summer_tmmx",31989354,19573942,341640.849085572
"4",4,0.144738585174161,0.0745864343409007,"summer_tmmx",31989354,21641643,346468.029196125
"5",5,0.254352510150566,0.10705419213692,"smoke_rate",31989354,13432958,234169.022380268
"6",6,0.192550233259291,0.0994171336207483,"summer_tmmx",31989354,21283156,427542.983474998
"7",7,0.168082649417137,0.0784137101683373,"MW",31989354,22634118,228066.855659644
"8",8,0.156088649685063,0.0787039090749113,"MW",31989354,22746247,282664.960542732
"9",9,0.191669669802185,0.0872575921946101,"summer_tmmx",31989354,20886955,348000.015157402
"10",10,0.197767541048337,0.102805619894596,"summer_tmmx",31989354,20201895,406909.43566244
"11",11,0.191740499076194,0.0751535165758136,"MW",31989354,22632162,197599.316299972
"12",12,0.16510339369991,0.0973688927992322,"summer_tmmx",31989354,16160273,363982.096762074
"13",13,0.180689724866303,0.0942268975185872,"summer_tmmx",31989354,22242990,476171.330296564
"14",14,0.196765085268109,0.095285040420659,"summer_tmmx",31989354,20854358,400946.784074667
"15",15,0.122739767228756,0.0583293464566618,"MW",31989354,22821764,338005.688276877
"16",16,0.161094998385402,0.0686583802196914,"MW",31989354,22645208,220797.427847951
"17",17,0.178038363423394,0.0914434580150902,"summer_tmmx",31989354,22723875,368695.613884003
"18",18,0.214180113059034,0.112106201533441,"smoke_rate",31989354,20151966,495475.388988526
"19",19,0.228532349887069,0.106308236943334,"smoke_rate",31989354,14992818,468920.538578458
"20",20,0.172002559675261,0.0714872443126063,"MW",31989354,22642462,181805.852295172
"21",21,0.17601948112909,0.085410598260313,"summer_tmmx",31989354,22703435,334093.654858436
"22",22,0.14638751859384,0.0640282399673941,"summer_tmmx",31989354,22846252,280898.22194303
"23",23,0.120593800256513,0.0587816637306291,"MW",31989354,22597444,222103.976853043
"24",24,0.136213154894095,0.0629127190849192,"MW",31989354,22622566,231006.060757638
"25",25,0.173885202370537,0.0698341562986697,"summer_tmmx",31989354,21541611,339137.153868646
"26",26,0.172575967008096,0.0692457533441232,"MW",31989354,22645800,208186.980647617
"27",27,0.18658756186227,0.093499346490279,"summer_tmmx",31989354,18596468,508331.237496181
"28",28,0.193116285713861,0.0849732784524712,"summer_tmmx",31989354,22625914,300399.17254175
"29",29,0.175979336988132,0.0923682894451852,"summer_tmmx",31989354,17123668,387114.743837578
"30",30,0.143921068034969,0.067853618101644,"hispanic",31989354,22265762,310012.938239258
